alarm_id,server,alarm_type,severity,threshold,actual_value,created_at,resolved_at,duration_minutes,status,handled_by
ALM20240101000,server_H,响应超时,严重,83.87499206352228,90.50092831619389,2024-10-10 11:00:00,2024-10-10 12:42:00,102,待确认,admin_3003
ALM20240101001,server_H,磁盘告警,提示,87.97683924681145,91.46605126418736,2024-06-16 03:00:00,2024-06-16 05:12:00,132,待确认,admin_3007
ALM20240101002,server_D,网络异常,警告,82.3168095020897,96.16616243145388,2024-06-06 04:00:00,2024-06-06 05:14:00,74,已恢复,admin_3003
ALM20240101003,server_B,CPU过高,警告,84.38855661874814,93.56254250621245,2024-03-06 01:00:00,,75,已恢复,admin_3007
ALM20240101004,server_B,响应超时,警告,87.70321918219273,91.29059866597122,2024-06-23 05:00:00,2024-06-23 05:20:00,20,处理中,admin_3004
ALM20240101005,server_A,CPU过高,提示,83.57934825025302,87.41192538003354,2024-08-12 05:00:00,2024-08-12 06:40:00,100,待确认,admin_3006
ALM20240101006,server_D,内存不足,严重,85.61724860956542,85.01604680968168,2024-07-18 23:00:00,2024-07-19 01:44:00,164,已恢复,admin_3007
ALM20240101007,server_B,响应超时,提示,91.5208156013043,90.03709475494249,2024-10-17 12:00:00,2024-10-17 14:45:00,165,处理中,admin_3005
ALM20240101008,server_D,网络异常,警告,88.70560410324124,88.96580618681648,2024-12-08 11:00:00,2024-12-08 11:37:00,37,待确认,admin_3001
ALM20240101009,server_A,服务宕机,提示,85.62946034502329,91.05866924823133,2024-01-18 21:00:00,,48,已恢复,admin_3007
ALM20240101010,server_B,磁盘告警,严重,90.44789891279216,97.45444589848607,2024-03-14 07:00:00,2024-03-14 07:52:00,52,待确认,admin_3007
ALM20240101011,server_J,网络异常,严重,85.05985392514737,91.45614262897286,2024-08-30 18:00:00,2024-08-30 18:50:00,50,处理中,admin_3004
ALM20240101012,server_A,网络异常,严重,93.53124226854757,88.25482589140569,2024-05-18 05:00:00,2024-05-18 05:50:00,50,已恢复,admin_3008
ALM20240101013,server_C,服务宕机,警告,83.80696940622094,98.96764244317788,2024-08-22 05:00:00,2024-08-22 05:47:00,47,处理中,admin_3009
ALM20240101014,server_H,磁盘告警,严重,88.1110569157774,90.96258841823544,2024-10-17 06:00:00,,107,处理中,admin_3008
