target_id,region,month,sales_target,profit_target,new_customer_target,actual_sales,actual_profit,actual_new_customers
T0001,华东,2024-01,129677,54023,563,388359,160040,113
T0002,华东,2024-02,117640,49906,576,376540,159414,112
T0003,华东,2024-03,137207,55523,482,437035,178475,125
T0004,华东,2024-04,141075,57529,354,354304,138501,115
T0005,华东,2024-05,152749,66744,755,304590,124901,111
T0006,华东,2024-06,180666,73705,714,481174,196945,113
T0007,华东,2024-07,143124,57359,549,337936,143694,107
T0008,华东,2024-08,135803,56934,684,325380,144653,124
T0009,华东,2024-09,147579,64496,641,253032,106753,102
T0010,华东,2024-10,158441,66671,498,319620,130466,122
T0011,华东,2024-11,208377,92668,627,1321142,525523,133
T0012,华东,2024-12,169963,72557,461,212192,87374,111
T0013,华南,2024-01,119517,49686,726,441428,167703,126
T0014,华南,2024-02,109792,47740,427,305310,124812,118
T0015,华南,2024-03,128165,51430,522,372303,159796,105
T0016,华南,2024-04,134287,54845,705,353632,147943,112
T0017,华南,2024-05,141322,59338,602,392911,157254,125
T0018,华南,2024-06,167116,71606,649,533129,219502,130
T0019,华南,2024-07,132054,53858,421,342126,149416,107
T0020,华南,2024-08,125880,53437,754,234979,106709,101
T0021,华南,2024-09,141896,56838,718,286931,122299,119
T0022,华南,2024-10,144721,58284,763,170360,72328,87
T0023,华南,2024-11,199635,81970,374,808145,355984,144
T0024,华南,2024-12,162958,65627,582,286735,118646,124
T0025,华北,2024-01,116134,47166,709,300548,123172,95
T0026,华北,2024-02,108719,43605,421,425455,176474,116
T0027,华北,2024-03,120535,49334,402,371943,153601,110
T0028,华北,2024-04,129770,55237,494,343513,147978,98
T0029,华北,2024-05,133789,54187,683,457282,195891,129
T0030,华北,2024-06,161735,65770,373,430669,180653,129
T0031,华北,2024-07,126355,55653,768,277903,125603,104
T0032,华北,2024-08,121726,50750,514,288649,121879,120
T0033,华北,2024-09,132604,55893,365,286556,117409,105
T0034,华北,2024-10,143809,59482,716,298842,121653,120
T0035,华北,2024-11,190020,83889,427,1324453,576344,129
T0036,华北,2024-12,153658,68347,552,293677,127044,124
T0037,华中,2024-01,95305,38551,456,367665,157878,120
T0038,华中,2024-02,88045,39354,661,431722,173766,119
T0039,华中,2024-03,97585,40359,498,320451,129811,109
T0040,华中,2024-04,103373,41776,583,428101,185451,121
T0041,华中,2024-05,109702,44265,633,338967,144997,123
T0042,华中,2024-06,134558,59578,453,784390,317171,141
T0043,华中,2024-07,103927,46331,585,518585,220853,133
T0044,华中,2024-08,99503,44279,431,347772,137870,119
T0045,华中,2024-09,111031,46957,423,262904,107153,115
T0046,华中,2024-10,117574,50288,582,253454,103954,130
T0047,华中,2024-11,153962,63401,459,735816,265841,135
T0048,华中,2024-12,127761,53870,600,234048,102773,111
T0049,西南,2024-01,84057,37410,536,406888,166714,129
T0050,西南,2024-02,78491,32074,507,348644,147296,107
T0051,西南,2024-03,89822,38506,427,401142,166753,114
T0052,西南,2024-04,95835,40097,636,415305,170779,119
T0053,西南,2024-05,101870,42169,464,394058,167428,124
T0054,西南,2024-06,120552,53062,619,421231,180585,124
T0055,西南,2024-07,93178,40349,527,389428,166655,110
T0056,西南,2024-08,89908,39937,414,254393,107951,99
T0057,西南,2024-09,101420,41881,563,239151,97695,111
T0058,西南,2024-10,106187,47485,643,307871,121422,135
T0059,西南,2024-11,140761,63013,652,1026920,454480,145
T0060,西南,2024-12,114830,48716,488,242419,99165,124
T0061,西北,2024-01,71089,31376,613,482106,205807,132
T0062,西北,2024-02,68453,29306,628,383281,163860,111
T0063,西北,2024-03,77192,32960,612,416275,166659,132
T0064,西北,2024-04,80777,32934,583,372861,166853,115
T0065,西北,2024-05,84456,33983,503,323814,130827,105
T0066,西北,2024-06,100281,40970,505,403687,164153,115
T0067,西北,2024-07,80339,33273,515,391216,157081,119
T0068,西北,2024-08,76300,31117,513,299884,131828,118
T0069,西北,2024-09,85400,36253,653,292590,124401,111
T0070,西北,2024-10,90948,40749,508,274898,110091,113
T0071,西北,2024-11,119420,48946,478,810701,349586,155
T0072,西北,2024-12,96071,40045,566,258155,110063,113
T0073,东北,2024-01,75539,31021,517,375054,158961,128
T0074,东北,2024-02,73261,30543,446,355486,144380,101
T0075,东北,2024-03,82496,34471,452,416352,159469,133
T0076,东北,2024-04,85651,38461,428,506918,204792,122
T0077,东北,2024-05,90557,40583,671,370639,157342,117
T0078,东北,2024-06,107924,43844,644,610212,250051,150
T0079,东北,2024-07,87015,35021,666,341291,138419,118
T0080,东北,2024-08,81256,34769,642,318008,131984,133
T0081,东北,2024-09,89798,39908,667,268350,116215,122
T0082,东北,2024-10,93870,37743,432,291677,125298,121
T0083,东北,2024-11,124592,53245,455,779423,290686,140
T0084,东北,2024-12,101849,45788,468,244899,99192,94
