order_id,date,product_id,region,channel,quantity,unit_price,discount_rate,is_returned
ORD2024021101251,2024-02-11,P0210,西南,线下经销商,1,1135.9,0.0,否
ORD2024040202817,2024-04-02,P0499,西南,线上第三方,4,567.66,0.0,是
ORD2024071306015,2024-07-13,P0211,华南,线下直营店,2,601.84,0.0,是
ORD2024070505782,2024-07-05,P0362,西南,企业团购,3,1168.44,0.0,否
ORD2024120510523,2024-12-05,P0409,西南,企业团购,3,1349.48,0.0,否
ORD2024022901808,2024-02-29,P0202,华北,线上第三方,1,1146.31,0.0,否
ORD2024020701122,2024-02-07,P0396,华北,线上官网,2,1146.61,0.0,否
ORD2024111309910,2024-11-13,P0395,西北,线下直营店,3,1079.22,0.28,否
ORD2024021501384,2024-02-15,P0059,华东,企业团购,4,3530.31,0.11,否
ORD2024051304061,2024-05-13,P0349,华北,线下直营店,5,164.09,0.0,否
ORD2024082107205,2024-08-21,P0224,华北,线下经销商,2,970.96,0.0,否
ORD2024101508840,2024-10-15,P0439,东北,线上第三方,4,1298.04,0.0,否
ORD2024071506084,2024-07-15,P0070,华中,线下经销商,1,4262.76,0.0,否
ORD2024030702040,2024-03-07,P0466,华中,线下直营店,5,911.59,0.0,否
ORD2024080106587,2024-08-01,P0445,华东,线上官网,1,822.58,0.0,否
ORD2024090907745,2024-09-09,P0158,华南,线上第三方,3,2361.79,0.0,否
ORD2024101308782,2024-10-13,P0489,华东,线上官网,1,2000.35,0.0,否
ORD2024081406970,2024-08-14,P0015,华北,线上第三方,2,4023.96,0.0,否
ORD2024121110707,2024-12-11,P0436,华东,线下经销商,1,1303.96,0.0,否
ORD2024040402883,2024-04-04,P0491,华东,企业团购,2,993.62,0.0,否
ORD2024102609153,2024-10-26,P0123,西北,线上第三方,1,2364.92,0.0,否
ORD2024021801458,2024-02-18,P0182,华中,线下直营店,1,1137.11,0.0,否
ORD2024052704485,2024-05-27,P0434,华北,企业团购,5,617.77,0.0,是
