??,???,????,???,????,??
2024-01-01,12500,45,28,????,??
2024-01-02,15300,52,35,??,??
2024-01-03,9800,38,22,??,??
2024-01-04,18600,68,42,????,??
2024-01-05,14200,50,32,??,??
2024-01-06,22100,78,55,????,??
2024-01-07,8900,32,18,??,??
2024-01-08,16500,58,40,??,??
2024-01-09,19800,72,45,????,??
2024-01-10,11200,42,25,??,??
2024-01-11,25600,88,62,????,??
2024-01-12,13800,48,30,??,??
2024-01-13,17500,62,38,??,??
2024-01-14,12100,44,26,????,??
2024-01-15,18900,65,44,??,??
2024-01-16,28900,95,68,????,??
2024-01-17,15600,55,33,??,??
2024-01-18,14200,50,31,??,??
2024-01-19,21500,75,52,????,??
2024-01-20,9800,36,20,??,??
2024-01-21,17800,64,39,??,??
2024-01-22,23400,82,58,????,??
2024-01-23,12500,45,27,??,??
2024-01-24,16800,60,36,??,??
2024-01-25,19200,68,46,????,??
2024-01-26,14500,51,29,??,??
2024-01-27,21800,76,50,??,??
2024-01-28,18600,65,43,????,??
2024-01-29,13200,47,28,??,??
2024-01-30,15800,56,34,??,??
2024-01-31,24500,85,60,????,??
